name,latitude,longitude,type,state
Kulp Bible School,10.327314,13.170123,school,
Model Primary School Tudunsaibu,9.100000,12.533333,school,
,10.167576,13.226250,school,
,10.172857,13.187396,school,
School Women Primary-Secondary,11.815793,13.140278,school,
Mara Imul Iman - Islamic School,11.811551,13.142115,school,
Mara Imul Iman - Islamic School,11.806158,13.152129,school,
,11.830055,13.153222,school,
Mala Kachallah Model School,11.841280,13.155565,school,
,11.840473,13.163665,school,
,11.826577,13.171839,school,
Central Primary School,11.219496,13.782651,school,
Universal basic dducation junior,11.218469,13.783517,school,
NASFTS Buni Yadi,11.244601,12.013750,school,
Mafoni liberty Primary School,11.804309,13.139272,school,
Maiduguri International Scholl,11.805569,13.139629,school,
Mafoni Liberty Junior Secondary School,11.805568,13.135678,school,
Mohammed Goni College of Legal and Islamic Studies,11.846908,13.148924,school,
Mafoni Day Secondary School,11.845684,13.150302,school,
Mafoni Primary School,11.844860,13.150758,school,
Abdullahi IBN Masud islamic School,11.828096,13.108769,school,
,12.949144,9.974489,school,
,12.968731,10.017839,school,
Hammawa Primary School,9.206758,12.486451,school,
Adamawa Agricultural Development Program,9.207772,12.487611,school,
School for Arqabic and Islamic Studies,9.206675,12.487795,school,
Namu Model Model Secondary School,11.815332,13.152173,school,
Durkwa Primary and Junior Secondary school,10.479070,12.121200,school,
Cross Kauwa Primary School,12.940799,13.675667,school,
Abande Memorial School,11.823175,13.153788,school,
Namu Model School,11.822963,13.151376,school,
Federal Government College,11.817277,13.184863,school,
,13.116416,13.859965,school,
,12.859685,13.846942,school,
,12.716893,13.690101,school,
,13.295978,11.591586,school,
,12.482229,14.178865,school,
,12.492347,14.185816,school,
,12.424551,13.936098,school,
Njemema Primary School,12.378566,14.205452,school,
,13.619354,13.343399,school,
,10.599794,13.283299,school,
,12.763175,14.147343,school,
,11.525135,13.906380,school,
,12.072827,14.116943,school,
,12.433063,13.691377,school,
,10.620663,12.169362,school,
,10.210148,13.286283,school,
,10.192472,13.322846,school,
,10.195947,13.307834,school,
,12.341604,14.185369,school,
Muna Koreri,11.865460,13.239917,school,
,11.729457,11.095694,school,
Yerma - Government Girls Secondary School (GGSS),11.835313,13.119640,school,
Universal basic education,11.835342,13.138577,school,
,11.832041,13.120472,school,
,11.829853,13.153035,school,
,11.832301,13.156404,school,
,11.827795,13.166725,school,
Gwange III Primary School,11.826705,13.171519,school,
Federal College of Education,9.246030,12.464168,school,
,11.824382,13.108057,school,
,11.824081,13.107900,school,
Goverment Secondary School,11.811408,13.182068,school,
Maimisari School,11.809831,13.182811,school,
Al-Ansar Academy,11.815485,13.153967,school,
Namu Model Secondary School,11.815375,13.152067,school,
Nigeria Arabic Language Village Ngala,11.820411,13.161474,school,
"North East Children’s Trust (NECT), The Learning Centre 1",11.827267,13.115226,school,
Model Orphanage Integrated School,11.807719,13.162885,school,
Government Girls Secondary School Chibok,10.881353,12.834752,school,
