LGA_name,admin1,schools,population,idp,conflict,pop_per_school,avg_distance_m,gap_index
Demsa,Adamawa,231,169165.47825189008,0.0,15,729.1615441891813,0.0,0.010040502717683959
Fufore,Adamawa,249,314989.7331903726,0.0,0,1259.9589327614904,0.0,0.0021618182396784136
Ganye,Adamawa,278,138524.92764367233,0.0,1,496.5051170024098,0.0,0.0015317989339530052
Girie,Adamawa,203,138526.21674149207,0.0,12,679.0500820661376,0.0,0.008216802025591503
Gombi,Adamawa,192,80146.68808283431,0.0,19,415.2678139006959,0.0,0.011868011463453176
Guyuk,Adamawa,174,51847.86154426192,0.0,1,296.2734945386395,0.0,0.001214080275990327
Hong,Adamawa,263,203022.10259416187,0.0,39,769.0231158869768,0.0,0.024057241663828534
Jada,Adamawa,231,127004.80950328232,0.0,0,547.4345237210445,0.0,0.0010312161089038794
Lamurde,Adamawa,146,86329.35424352277,0.0,12,587.2745186634202,0.0,0.008071176631963401
Madagali,Adamawa,173,43630.82695623636,0.0,75,250.75187905882964,0.0,0.044165104409450116
Maiha,Adamawa,127,37714.11489998716,0.0,7,294.6415226561497,0.0,0.004699862828410768
Mayo-Belwa,Adamawa,261,160310.3045106623,0.0,1,611.8713912620699,0.0,0.001714857021286666
Michika,Adamawa,238,55310.37205194224,0.0,25,231.4241508449466,0.0,0.015064668585672635
Mubi North,Adamawa,163,48634.65619924465,0.0,5,296.5527817027113,0.0,0.0035401048318243226
Mubi South,Adamawa,139,15589.220381080018,0.0,7,111.35157415057157,0.0,0.00440902646729714
Numan,Adamawa,151,60121.22310575438,0.0,13,395.53436253785776,0.0,0.008348327205014553
Shelleng,Adamawa,107,119010.8342738585,0.0,0,1101.9521692023936,0.0,0.0019111001150919444
Song,Adamawa,240,320369.29403913184,0.0,5,1329.333170286854,0.0,0.005178874947121666
Teungo,Adamawa,86,336265.7949726243,0.0,0,3865.1240801451067,0.0,0.006295578752694432
Yola North,Adamawa,161,10336.956612705022,0.0,2,63.808374152500136,0.0,0.001426610281964021
Yola South,Adamawa,198,27325.14220601437,0.0,8,137.312272392032,0.0,0.0050316151007092835
Abadam,Borno,27,102719.20699256318,0.0,133,3668.5431068772564,0.0,0.0833092341783131
Askira/Uba,Borno,117,91057.74694043376,0.0,86,771.6758215290997,0.0,0.051387032254838955
Bama,Borno,117,191310.46032748316,0.0,258,1621.2750875210438,0.0,0.15273513868915542
Bayo,Borno,46,44081.79603933518,0.0,1,937.9105540284081,0.0,0.0022322015044546
Biu,Borno,109,137920.95306734886,0.0,88,1253.8268460668078,0.0,0.053314878814152644
Chibok,Borno,74,58015.423349222874,0.0,75,773.5389779896383,0.0,0.04499463979166754
Damboa,Borno,131,269486.6431433768,0.0,380,2041.5654783589152,0.0,0.22433226939898815
Dikwa,Borno,45,74851.63458766408,0.0,62,1627.209447557915,0.0,0.03879106669637144
Gubio,Borno,24,105230.39757196329,0.0,46,4209.215902878532,0.0,0.03358575444254812
Guzamala,Borno,28,97367.9979344509,0.0,88,3357.5171701534796,0.0,0.05665292131869673
Gwoza,Borno,125,100108.43516743911,0.0,353,794.5113902177707,0.0,0.20665582486197845
Hawul,Borno,142,86002.39791958942,0.0,33,601.4153700670589,0.0,0.020302917033384826
Jere,Borno,103,36510.31652431735,0.0,156,351.0607358107437,0.0,0.09141729331031474
Kaga,Borno,53,115668.96693827941,0.0,86,2142.0179062644333,0.0,0.05356143029823825
Kala/Balge,Borno,41,51337.98075677252,0.0,55,1222.3328751612505,0.0,0.034078859066295084
Konduga,Borno,92,245567.07890660973,0.0,430,2640.506224802255,0.0,0.2543524094534142
Kukawa,Borno,42,87913.5894553857,0.0,136,2044.5020803578072,0.0,0.08247646395251837
Kwaya Kusar,Borno,56,30440.54458377351,0.0,0,534.0446418205879,0.0,0.0010099696381649151
Lake Chad,Borno,0,220473.4100260192,0.0,192,220473.4100260192,0.0,0.46162790697674416
Mafa,Borno,50,122680.58019528452,0.0,146,2405.501572456559,0.0,0.08886323542410177
Magumeri,Borno,26,214926.51864103662,0.0,69,7960.241431149504,0.0,0.052909808410642384
Maiduguri,Borno,123,5480.968714687635,0.0,418,44.20136060231964,0.0,0.24325596385874115
Marte,Borno,47,95619.23598917284,0.0,121,1992.067416441101,0.0,0.07367233272081058
Mobbar,Borno,27,136774.19916546947,0.0,75,4884.792827338196,0.0,0.05151819505974346
Monguno,Borno,60,63579.15196890402,0.0,28,1042.2811798180987,0.0,0.01809548660307372
Ngala,Borno,39,56130.413730569635,0.0,74,1403.2603432642409,0.0,0.045412458376192295
Nganzai,Borno,30,105018.10790666462,0.0,70,3387.6809002149876,0.0,0.046235667508683395
Shani,Borno,63,49444.99916140792,0.0,4,772.5781118969987,0.0,0.0037140453645256814
Bade,Yobe,80,-8298.86705774823,0.0,0,-102.45514886108926,0.0,0.0
Borsari,Yobe,80,318096.82336670434,0.0,5,3927.121276132152,0.0,0.009300929897807172
Damaturu,Yobe,74,199051.04995453413,0.0,71,2654.0139993937883,0.0,0.04565291275848854
Fika,Yobe,139,171462.27857576514,0.0,4,1224.7305612554653,0.0,0.004431500817550855
Fune,Yobe,137,405752.1194178753,0.0,20,2940.2327494048936,0.0,0.016455909186091848
Geidam,Yobe,56,351786.1977731852,0.0,37,6171.687680231319,0.0,0.031467159480847336
Gujba,Yobe,80,271307.7344417933,0.0,97,3349.478202985102,0.0,0.06187272358166868
Gulani,Yobe,68,187986.7091193448,0.0,18,2724.4450597006494,0.0,0.014950716152891707
Jakusko,Yobe,94,318908.67096025473,0.0,0,3356.9333785289973,0.0,0.005489204286364587
Karasuwa,Yobe,53,95148.17489895143,0.0,3,1762.003238869471,0.0,0.004702625924729144
Machina,Yobe,35,101975.4412982628,0.0,0,2832.651147173967,0.0,0.0046572964943277
Nangere,Yobe,93,81052.02018384986,0.0,35,862.2555338707432,0.0,0.021879597334343394
Nguru,Yobe,95,77577.846898543,0.0,0,808.1025718598229,0.0,0.0014448326066845369
Potiskum,Yobe,118,44938.63236171475,0.0,8,377.63556606482985,0.0,0.005412949444422687
Tarmuwa,Yobe,52,366939.61575344915,0.0,17,6923.3889764801725,0.0,0.02103201878194822
Yunusari,Yobe,55,318307.8517944118,0.0,3,5684.068782043068,0.0,0.010925985579342379
Yusufari,Yobe,72,352275.4605180889,0.0,6,4825.69123997382,0.0,0.011308136212387339
