name,latitude,longitude,type,state
"Kulp Bible School","10.3273135","13.1701230","school",""
"Model Primary School Tudunsaibu","9.1000000","12.5333330","school",""
"","10.1675759","13.2262499","school",""
"","10.1728570","13.1873958","school",""
"School Women Primary-Secondary","11.8157927","13.1402776","school",""
"Mara Imul Iman - Islamic School","11.8115512","13.1421148","school",""
"Mara Imul Iman - Islamic School","11.8061584","13.1521293","school",""
"","11.8300548","13.1532222","school",""
"Mala Kachallah Model School","11.8412804","13.1555649","school",""
"","11.8404725","13.1636650","school",""
"","11.8265768","13.1718387","school",""
"Central Primary School","11.2194965","13.7826512","school",""
"Universal basic dducation junior","11.2184686","13.7835172","school",""
"NASFTS Buni Yadi","11.2446014","12.0137503","school",""
"Mafoni liberty Primary School","11.8043090","13.1392719","school",""
"Maiduguri International Scholl","11.8055693","13.1396285","school",""
"Mafoni Liberty Junior Secondary School","11.8055678","13.1356782","school",""
"Mohammed Goni College of Legal and Islamic Studies","11.8469076","13.1489235","school",""
"Mafoni Day Secondary School","11.8456843","13.1503022","school",""
"Mafoni Primary School","11.8448600","13.1507581","school",""
"Abdullahi IBN Masud islamic School","11.8280958","13.1087693","school",""
"","12.9491438","9.9744886","school",""
"","12.9687307","10.0178390","school",""
"Hammawa Primary School","9.2067581","12.4864514","school",""
"Adamawa Agricultural Development Program","9.2077721","12.4876115","school",""
"School for Arqabic and Islamic Studies","9.2066747","12.4877952","school",""
"Namu Model Model Secondary School","11.8153323","13.1521735","school",""
"Durkwa Primary and Junior Secondary school","10.4790700","12.1212000","school",""
"Cross Kauwa Primary School","12.9407991","13.6756669","school",""
"Abande Memorial School","11.8231754","13.1537876","school",""
"Namu Model School","11.8229629","13.1513763","school",""
"Federal Government College","11.8172773","13.1848633","school",""
"","13.1164158","13.8599648","school",""
"","12.8596848","13.8469419","school",""
"","12.7168930","13.6901008","school",""
"","13.2959781","11.5915855","school",""
"","12.4822292","14.1788646","school",""
"","12.4923466","14.1858162","school",""
"","12.4245513","13.9360980","school",""
"Njemema Primary School","12.3785662","14.2054515","school",""
"","13.6193540","13.3433994","school",""
"","10.5997943","13.2832987","school",""
"","12.7631754","14.1473428","school",""
"","11.5251345","13.9063796","school",""
"","12.0728272","14.1169431","school",""
"","12.4330631","13.6913772","school",""
"","10.6206635","12.1693624","school",""
"","10.2101481","13.2862834","school",""
"","10.1924719","13.3228459","school",""
"","10.1959470","13.3078344","school",""
"","12.3416044","14.1853690","school",""
"Muna Koreri","11.8654602","13.2399172","school",""
"","11.7294568","11.0956939","school",""
"Yerma - Government Girls Secondary School (GGSS)","11.8353132","13.1196402","school",""
"Universal basic education","11.8353417","13.1385768","school",""
"","11.8320412","13.1204719","school",""
"","11.8298530","13.1530352","school",""
"","11.8323009","13.1564042","school",""
"","11.8277949","13.1667254","school",""
"Gwange III Primary School","11.8267048","13.1715194","school",""
"Federal College of Education","9.2460298","12.4641680","school",""
"","11.8243817","13.1080574","school",""
"","11.8240814","13.1079000","school",""
"Goverment Secondary School","11.8114084","13.1820680","school",""
"Maimisari School","11.8098311","13.1828110","school",""
"Al-Ansar Academy","11.8154847","13.1539668","school",""
"Namu Model Secondary School","11.8153749","13.1520675","school",""
"Nigeria Arabic Language Village Ngala","11.8204112","13.1614739","school",""
"North East Children’s Trust (NECT), The Learning Centre 1","11.8272672","13.1152257","school",""
"Model Orphanage Integrated School","11.8077187","13.1628850","school",""
"Government Girls Secondary School Chibok","10.8813525","12.8347524","school",""
